iter	Passed	Remaining
332	52887	105933
333	53043	105769
334	53202	105610
335	53358	105445
336	53520	105293
337	53679	105135
338	53836	104972
339	53995	104814
340	54158	104664
341	54317	104505
342	54488	104369
343	54650	104217
344	54807	104054
345	54965	103894
346	55124	103735
347	55284	103579
348	55446	103426
349	55605	103267
350	55766	103112
351	55922	102947
352	56080	102788
353	56239	102629
354	56396	102467
355	56556	102309
356	56714	102149
357	56876	101996
358	57036	101839
359	57193	101676
360	57353	101519
361	57511	101360
362	57671	101202
363	57827	101039
364	57986	100879
365	58143	100718
366	58301	100557
367	58461	100401
368	58622	100245
369	58783	100090
370	58943	99933
371	59105	99780
372	59259	99612
373	59417	99452
374	59570	99284
375	59727	99122
376	59888	98966
377	60051	98814
378	60209	98654
379	60368	98496
380	60524	98333
381	60684	98175
382	60844	98018
383	61000	97855
384	61158	97694
385	61319	97539
386	61480	97383
387	61639	97225
388	61798	97065
389	61960	96913
390	62121	96756
391	62284	96605
392	62436	96435
393	62596	96277
394	62753	96116
395	62910	95954
396	63073	95802
397	63236	95648
398	63392	95485
399	63549	95324
400	63705	95160
401	63865	95004
402	64022	94842
403	64177	94677
404	64331	94511
405	64489	94351
406	64646	94190
407	64803	94028
408	64963	93870
409	65123	93714
410	65279	93551
411	65441	93396
412	65601	93240
413	65761	93082
414	65918	92920
415	66076	92761
416	66235	92603
417	66394	92443
418	66554	92286
419	66715	92130
420	66871	91968
421	67033	91813
422	67189	91650
423	67346	91489
424	67506	91332
425	67662	91170
426	67817	91006
427	67974	90844
428	68133	90685
429	68292	90526
430	68448	90364
431	68608	90207
432	68767	90049
433	68924	89887
434	69084	89730
435	69240	89568
436	69400	89410
437	69559	89252
438	69718	89093
439	69882	88941
440	70044	88786
441	70203	88627
442	70360	88467
443	70521	88311
444	70682	88154
445	70839	87994
446	70998	87835
447	71158	87677
448	71315	87516
449	71477	87360
450	71636	87203
451	71799	87049
452	71957	86888
453	72113	86727
454	72270	86565
455	72428	86405
456	72586	86246
457	72747	86090
458	72908	85933
459	73065	85772
460	73219	85607
461	73371	85441
462	73530	85282
463	73685	85119
464	73844	84961
465	74001	84799
466	74161	84642
467	74320	84484
468	74482	84328
469	74643	84172
470	74800	84011
471	74956	83850
472	75117	83693
473	75278	83536
474	75435	83375
475	75597	83220
476	75757	83063
477	75913	82901
478	76073	82744
479	76233	82586
480	76392	82427
481	76550	82268
482	76706	82105
483	76863	81945
484	77019	81783
485	77180	81627
486	77338	81467
487	77496	81307
488	77657	81151
489	77819	80995
490	77976	80834
491	78130	80671
492	78289	80513
493	78450	80356
494	78609	80197
495	78765	80036
496	78925	79878
497	79086	79721
498	79245	79563
499	79404	79404
500	79562	79244
501	79730	79094
502	79886	78933
503	80050	78779
504	80210	78622
505	80369	78463
506	80530	78306
507	80690	78149
508	80848	77989
509	81005	77829
510	81162	77667
511	81321	77509
512	81477	77348
513	81635	77188
514	81795	77030
515	81955	76873
516	82117	76716
517	82279	76561
518	82443	76407
519	82602	76248
520	82758	76086
521	82919	75929
522	83079	75772
523	83234	75610
524	83394	75451
525	83554	75294
526	83711	75133
527	83869	74973
528	84026	74813
529	84183	74653
530	84340	74492
531	84494	74329
532	84650	74168
533	84806	74006
534	84961	73844
535	85124	73689
536	85285	73532
537	85444	73374
538	85605	73216
539	85763	73057
540	85921	72898
541	86081	72740
542	86236	72578
543	86392	72416
544	86547	72255
545	86708	72098
546	86871	71942
547	87027	71781
548	87187	71623
549	87345	71464
550	87508	71309
551	87666	71149
552	87826	70991
553	87987	70834
554	88143	70673
555	88302	70514
556	88460	70355
557	88622	70199
558	88782	70041
559	88941	69882
560	89099	69722
561	89259	69565
562	89417	69405
563	89573	69244
564	89737	69090
565	89896	68931
566	90054	68771
567	90210	68611
568	90373	68455
569	90530	68295
570	90689	68136
571	90846	67976
572	91005	67817
573	91161	67656
574	91319	67496
575	91479	67338
576	91638	67180
577	91801	67024
578	91964	66869
579	92124	66711
580	92283	66551
581	92441	66392
582	92600	66234
583	92760	66075
584	92920	65918
585	93075	65756
586	93228	65593
587	93385	65433
588	93544	65274
589	93705	65117
590	93865	64959
591	94023	64799
592	94185	64643
593	94346	64486
594	94510	64330
595	94675	64175
596	94834	64017
597	94993	63858
598	95153	63700
599	95310	63540
600	95467	63380
601	95629	63223
602	95790	63066
603	95950	62908
604	96120	62756
605	96280	62598
606	96440	62439
607	96601	62282
608	96762	62124
609	96920	61965
610	97077	61805
611	97234	61645
612	97391	61485
613	97547	61324
614	97712	61169
615	97872	61011
616	98033	60853
617	98193	60695
618	98351	60536
619	98513	60379
620	98671	60220
621	98836	60064
622	98994	59905
623	99151	59745
624	99304	59582
625	99463	59423
626	99617	59262
627	99780	59105
628	99938	58946
629	100102	58790
630	100262	58631
631	100420	58472
632	100578	58313
633	100739	58155
634	100897	57996
635	101052	57835
636	101212	57676
637	101370	57517
638	101531	57359
639	101693	57202
640	101853	57044
641	102014	56886
642	102176	56729
643	102334	56569
644	102499	56414
645	102660	56256
646	102817	56096
647	102976	55937
648	103138	55780
649	103300	55623
650	103458	55463
651	103614	55303
652	103772	55144
653	103930	54984
654	104092	54827
655	104249	54667
656	104409	54509
657	104568	54350
658	104724	54189
659	104885	54031
660	105044	53872
661	105201	53713
662	105363	53555
663	105520	53396
664	105677	53236
665	105839	53078
666	106002	52921
667	106159	52761
668	106317	52602
669	106482	52446
670	106638	52286
671	106801	52129
672	106960	51970
673	107115	51809
674	107271	51649
675	107425	51488
676	107584	51328
677	107741	51169
678	107903	51011
679	108068	50855
680	108239	50702
681	108400	50544
682	108561	50386
683	108717	50226
684	108875	50066
685	109030	49905
686	109186	49745
687	109344	49586
688	109510	49430
689	109668	49271
690	109827	49112
691	109985	48953
692	110141	48792
693	110301	48634
694	110465	48477
695	110623	48318
696	110784	48160
697	110942	48001
698	111101	47841
699	111263	47684
700	111417	47523
701	111575	47363
702	111736	47205
703	111895	47047
704	112055	46888
705	112213	46729
706	112375	46571
707	112533	46411
708	112696	46254
709	112853	46095
710	113014	45937
711	113173	45778
712	113333	45619
713	113490	45459
714	113648	45300
715	113807	45141
716	113965	44982
717	114125	44823
718	114282	44663
719	114444	44506
720	114605	44348
721	114763	44188
722	114923	44030
723	115079	43870
724	115235	43710
725	115395	43551
726	115553	43392
727	115710	43232
728	115870	43074
729	116028	42914
730	116189	42756
731	116352	42599
732	116509	42439
733	116666	42279
734	116827	42121
735	116984	41961
736	117142	41802
737	117304	41644
738	117459	41484
739	117616	41324
740	117777	41166
741	117936	41007
742	118096	40849
743	118252	40688
744	118411	40529
745	118575	40372
746	118739	40215
747	118904	40058
748	119061	39899
749	119223	39741
750	119379	39581
751	119538	39422
752	119693	39262
753	119853	39103
754	120015	38945
755	120178	38787
756	120338	38629
757	120493	38469
758	120650	38309
759	120807	38149
760	120972	37992
761	121130	37833
762	121285	37673
763	121443	37513
764	121605	37355
765	121763	37196
766	121920	37037
767	122080	36878
768	122236	36718
769	122391	36558
770	122550	36399
771	122706	36239
772	122866	36081
773	123025	35922
774	123183	35762
775	123341	35603
776	123500	35444
777	123661	35286
778	123820	35127
779	123979	34968
780	124143	34811
781	124301	34651
782	124461	34493
783	124616	34332
784	124772	34173
785	124930	34014
786	125087	33854
787	125244	33695
788	125400	33535
789	125555	33375
790	125710	33215
791	125872	33057
792	126035	32899
793	126192	32740
794	126351	32581
795	126509	32421
796	126669	32263
797	126829	32104
798	126994	31947
799	127152	31788
800	127307	31628
801	127463	31468
802	127622	31309
803	127778	31149
804	127936	30990
805	128095	30831
806	128255	30673
807	128421	30515
808	128583	30357
809	128746	30199
810	128905	30040
811	129064	29881
812	129222	29722
813	129383	29564
814	129542	29405
815	129701	29246
816	129861	29087
817	130022	28929
818	130192	28772
819	130353	28614
820	130517	28456
821	130682	28298
822	130840	28139
823	130998	27980
824	131157	27821
825	131320	27663
826	131479	27504
827	131640	27345
828	131800	27186
829	131960	27028
830	132118	26868
831	132276	26709
832	132439	26551
833	132600	26392
834	132759	26233
835	132924	26076
836	133085	25917
837	133248	25759
838	133408	25600
839	133568	25441
840	133727	25282
841	133886	25123
842	134048	24965
843	134207	24806
844	134369	24647
845	134529	24488
846	134688	24329
847	134849	24171
848	135006	24011
849	135163	23852
850	135324	23693
851	135482	23534
852	135641	23375
853	135800	23216
854	135958	23057
855	136116	22898
856	136272	22738
857	136434	22580
858	136598	22421
859	136758	22263
860	136915	22103
861	137077	21945
862	137237	21786
863	137397	21627
864	137560	21468
865	137715	21309
866	137877	21150
867	138039	20992
868	138197	20832
869	138357	20674
870	138517	20515
871	138674	20355
872	138835	20197
873	138995	20038
874	139157	19879
875	139318	19720
876	139482	19562
877	139641	19403
878	139801	19244
879	139955	19084
880	140117	18926
881	140280	18767
882	140446	18609
883	140606	18450
884	140769	18292
885	140926	18132
886	141085	17973
887	141243	17814
888	141406	17655
889	141568	17497
890	141724	17337
891	141876	17177
892	142029	17018
893	142183	16858
894	142344	16699
895	142499	16540
896	142659	16381
897	142821	16222
898	142975	16062
899	143135	15903
900	143291	15744
901	143443	15584
902	143600	15425
903	143761	15266
904	143919	15107
905	144080	14948
906	144238	14789
907	144400	14630
908	144557	14471
909	144718	14312
910	144876	14153
911	145034	13994
912	145191	13835
913	145349	13676
914	145508	13517
915	145663	13357
916	145820	13198
917	145976	13039
918	146134	12880
919	146290	12720
920	146448	12561
921	146609	12402
922	146773	12244
923	146935	12085
924	147098	11926
925	147257	11767
926	147417	11608
927	147574	11449
928	147737	11291
929	147901	11132
930	148065	10973
931	148225	10814
932	148383	10655
933	148545	10496
934	148707	10337
935	148880	10179
936	149056	10021
937	149219	9863
938	149384	9704
939	149545	9545
940	149708	9386
941	149871	9227
942	150038	9069
943	150209	8910
944	150373	8751
945	150533	8592
946	150690	8433
947	150850	8274
948	151014	8115
949	151173	7956
950	151332	7797
951	151497	7638
952	151650	7479
953	151807	7319
954	151960	7160
955	152117	7001
956	152270	6841
957	152424	6682
958	152585	6523
959	152744	6364
960	152904	6205
961	153063	6046
962	153225	5887
963	153387	5728
964	153551	5569
965	153707	5409
966	153869	5250
967	154031	5091
968	154193	4932
969	154357	4773
970	154518	4614
971	154677	4455
972	154840	4296
973	154999	4137
974	155164	3978
975	155318	3819
976	155479	3660
977	155640	3501
978	155798	3341
979	155955	3182
980	156116	3023
981	156275	2864
982	156431	2705
983	156589	2546
984	156747	2387
985	156909	2227
986	157067	2068
987	157226	1909
988	157392	1750
989	157554	1591
990	157711	1432
991	157871	1273
992	158033	1114
993	158190	954
994	158353	795
995	158512	636
996	158672	477
997	158832	318
998	158994	159
999	159157	0
