iter	MAE
0	48.99822609
1	48.71193087
2	48.4428125
3	48.12367862
4	47.79941199
5	47.56719421
6	47.3009015
7	46.99771737
8	46.76032419
9	46.5112995
10	46.23841899
11	46.02143146
12	45.79799788
13	45.56172769
14	45.39004427
15	45.15090451
16	44.95562793
17	44.6789822
18	44.50002498
19	44.33182259
20	44.1002456
21	43.83151708
22	43.67085759
23	43.47273587
24	43.3239305
25	43.13226324
26	42.96395867
27	42.83672934
28	42.65944367
29	42.47382358
30	42.3642294
31	42.23570391
32	42.07762185
33	41.92281397
34	41.8196353
35	41.66579401
36	41.53662875
37	41.38198159
38	41.17658717
39	41.05775281
40	40.92516674
41	40.80401494
42	40.65868259
43	40.55064052
44	40.44525388
45	40.32791898
46	40.22819408
47	40.10865924
48	39.99131687
49	39.88952299
50	39.77129813
51	39.65980272
52	39.52714383
53	39.40922856
54	39.29201382
55	39.2063673
56	39.12151125
57	39.03052517
58	38.94928847
59	38.86962149
60	38.77524842
61	38.64459574
62	38.55854237
63	38.45745859
64	38.38885924
65	38.29228625
66	38.20139136
67	38.09878574
68	37.99626403
69	37.88891042
70	37.81543256
71	37.74657338
72	37.66462943
73	37.60070381
74	37.52253445
75	37.44916649
76	37.38203018
77	37.2841779
78	37.19885246
79	37.13860299
80	37.06520366
81	36.94400756
82	36.87246976
83	36.8132924
84	36.74481256
85	36.68725649
86	36.58888123
87	36.53052017
88	36.47743452
89	36.39483738
90	36.34333387
91	36.26946846
92	36.19945905
93	36.12071069
94	36.05959183
95	35.95580998
96	35.910185
97	35.84356482
98	35.76186755
99	35.6893554
100	35.59365734
101	35.55390125
102	35.49490111
103	35.4470349
104	35.39230625
105	35.34244637
106	35.27635762
107	35.2135316
108	35.15298477
109	35.07124788
110	35.01878088
111	34.96689305
112	34.91625912
113	34.87247952
114	34.83701354
115	34.78929324
116	34.73274493
117	34.68873139
118	34.63554798
119	34.5807217
120	34.54806642
121	34.49592331
122	34.44494502
123	34.40545213
124	34.34315848
125	34.28738103
126	34.25173605
127	34.19725529
128	34.16333322
129	34.11147533
130	34.06418044
131	34.02394285
132	33.9902103
133	33.92563202
134	33.88284908
135	33.84614841
136	33.81188458
137	33.7792448
138	33.74083344
139	33.70472134
140	33.67738273
141	33.64333786
142	33.60041647
143	33.56533658
144	33.53908456
145	33.51497691
146	33.48764072
147	33.4570161
148	33.4198839
149	33.37891663
150	33.33007639
151	33.30232057
152	33.27183445
153	33.24348013
154	33.21696368
155	33.17096929
156	33.14262175
157	33.10615868
158	33.05987864
159	33.03736016
160	32.99471359
161	32.9500366
162	32.91722537
163	32.88727742
164	32.86991499
165	32.83988714
166	32.81938687
167	32.7814935
168	32.75707464
169	32.70933689
170	32.68519249
171	32.63931956
172	32.61484874
173	32.58466666
174	32.56621304
175	32.53858205
176	32.51393267
177	32.49826634
178	32.4722454
179	32.44624965
180	32.40534936
181	32.3845155
182	32.35307564
183	32.32439208
184	32.29928379
185	32.27567686
186	32.23687805
187	32.20203288
188	32.17061536
189	32.14618413
190	32.11580842
191	32.09753168
192	32.06914948
193	32.04000839
194	32.01590827
195	31.98821566
196	31.97274064
197	31.95454672
198	31.92849756
199	31.90986068
200	31.89470445
201	31.87384972
202	31.85413885
203	31.82259667
204	31.79312234
205	31.76635667
206	31.73790476
207	31.71212212
208	31.69251558
209	31.67511232
210	31.65926272
211	31.63813642
212	31.61788732
213	31.59906645
214	31.58360628
215	31.55169833
216	31.52985879
217	31.51205072
218	31.49568786
219	31.46402773
220	31.4498098
221	31.43431328
222	31.41694834
223	31.39276611
224	31.37274003
225	31.35271426
226	31.33808985
227	31.31951192
228	31.29899347
229	31.27216176
230	31.23424034
231	31.19629019
232	31.17771376
233	31.16347866
234	31.14839305
235	31.12005945
236	31.09831164
237	31.08572636
238	31.07562111
239	31.05825394
240	31.03472871
241	31.02315561
242	31.00302353
243	30.97364208
244	30.96058895
245	30.94225734
246	30.92875278
247	30.90892868
248	30.89179392
249	30.88212385
250	30.86245742
251	30.83781715
252	30.82092111
253	30.79342856
254	30.7684932
255	30.7465138
256	30.72743262
257	30.70970344
258	30.6914596
259	30.66479934
260	30.64133965
261	30.62754087
262	30.6050002
263	30.58665003
264	30.57167538
265	30.5644245
266	30.55389129
267	30.54032035
268	30.52342109
269	30.50903042
270	30.49078849
271	30.47783388
272	30.46087591
273	30.44695196
274	30.42834329
275	30.41827635
276	30.40062852
277	30.38591597
278	30.36834695
279	30.35230079
280	30.33121714
281	30.31269517
282	30.28908965
283	30.2678501
284	30.24491018
285	30.22870496
286	30.21344351
287	30.19460135
288	30.18301853
289	30.16797035
290	30.15786147
291	30.14371726
292	30.12339167
293	30.09747282
294	30.08103411
295	30.06758124
296	30.0546192
297	30.04006422
298	30.02533222
299	30.00215108
300	29.98494048
301	29.96791902
302	29.95403101
303	29.93370891
304	29.91865216
305	29.8977521
306	29.884093
307	29.87118944
308	29.8552974
309	29.84600847
310	29.82978958
311	29.81617689
312	29.80545366
313	29.78677315
314	29.76571801
315	29.75490498
316	29.74161709
317	29.72643123
318	29.7037459
319	29.69470847
320	29.67289458
321	29.65842139
322	29.64805215
323	29.63367105
324	29.61831049
325	29.60493724
326	29.58285729
327	29.56551658
328	29.54457964
329	29.52991938
330	29.51665457
331	29.50376724
332	29.48884856
333	29.47440801
334	29.45823651
335	29.44229153
336	29.42541105
337	29.41282911
338	29.39625768
339	29.37874562
340	29.36864351
341	29.35411196
342	29.33773724
343	29.32008467
344	29.30751292
345	29.29509079
346	29.28089737
347	29.26757535
348	29.2565863
349	29.23974673
350	29.22723659
351	29.21577724
352	29.20619426
353	29.18766862
354	29.17483874
355	29.15947554
356	29.15205998
357	29.13380567
358	29.1230267
359	29.10998958
360	29.09353646
361	29.08153351
362	29.0656407
363	29.0525481
364	29.03830353
365	29.02481463
366	29.0099311
367	28.99535693
368	28.97504831
369	28.96263401
370	28.94887231
371	28.93439867
372	28.91208888
373	28.89945732
374	28.88712372
375	28.88038971
376	28.87068472
377	28.85942158
378	28.85008381
379	28.83127979
380	28.82429715
381	28.81305562
382	28.80520503
383	28.79456745
384	28.7820468
385	28.76743241
386	28.75739081
387	28.74461302
388	28.7310074
389	28.71765368
390	28.70291186
391	28.69101107
392	28.68336018
393	28.66530746
394	28.65057958
395	28.63764641
396	28.6245537
397	28.61103543
398	28.59875431
399	28.59138014
400	28.57982726
401	28.56137461
402	28.5524056
403	28.54403803
404	28.53152791
405	28.51783003
406	28.50952754
407	28.49476696
408	28.48535371
409	28.47064309
410	28.45384254
411	28.44464418
412	28.43594595
413	28.42509713
414	28.41430602
415	28.40246628
416	28.38879869
417	28.37551851
418	28.36121909
419	28.34938054
420	28.33961086
421	28.33134384
422	28.32263676
423	28.31065529
424	28.3045929
425	28.29295015
426	28.28171984
427	28.27065517
428	28.26265283
429	28.25264062
430	28.24014966
431	28.2300932
432	28.21995354
433	28.21257589
434	28.20578096
435	28.19305474
436	28.17789613
437	28.16882268
438	28.16064526
439	28.15020648
440	28.1387061
441	28.12809222
442	28.12141819
443	28.11450425
444	28.10514423
445	28.09284591
446	28.08301915
447	28.06725721
448	28.05829665
449	28.04923389
450	28.04089751
451	28.03140887
452	28.02597833
453	28.01390551
454	28.00575647
455	27.9883898
456	27.98075343
457	27.97400594
458	27.96276354
459	27.95119101
460	27.94431118
461	27.93407041
462	27.92445521
463	27.91898103
464	27.91119022
465	27.90597798
466	27.89763034
467	27.88950153
468	27.88293698
469	27.87582577
470	27.86591691
471	27.86113863
472	27.84960828
473	27.84020751
474	27.83592277
475	27.82399519
476	27.81567316
477	27.80429298
478	27.79614992
479	27.78909138
480	27.77664908
481	27.76672581
482	27.75982797
483	27.75065752
484	27.73988028
485	27.7322123
486	27.72210942
487	27.71275861
488	27.70528277
489	27.69463178
490	27.68488478
491	27.67518708
492	27.67155523
493	27.66310886
494	27.65391069
495	27.64450914
496	27.63641229
497	27.62492831
498	27.61734951
499	27.6073627
500	27.59414895
501	27.58663059
502	27.57688068
503	27.56877032
504	27.55959357
505	27.55002576
506	27.54527226
507	27.53350146
508	27.52715726
509	27.5150446
510	27.50344434
511	27.49470148
512	27.48763859
513	27.48094919
514	27.47095692
515	27.46365808
516	27.45959074
517	27.45134568
518	27.44338895
519	27.43428046
520	27.42665765
521	27.42063427
522	27.41632063
523	27.40780492
524	27.39901891
525	27.38830156
526	27.37786196
527	27.37141374
528	27.36511838
529	27.3542475
530	27.34634913
531	27.3365824
532	27.33177606
533	27.32430725
534	27.31548709
535	27.31182063
536	27.30326903
537	27.29645567
538	27.28854288
539	27.28288951
540	27.27568452
541	27.26892856
542	27.26348989
543	27.25559544
544	27.24869764
545	27.23935463
546	27.23301334
547	27.225786
548	27.21644293
549	27.21187688
