"feature","p"
"SFPQ",0.923077078181792
"PRDM2",0.735859013587457
"MYCL",0.957841468684059
"AKT3",0.0647281457746861
"SDHB",0.0327631981453206
"ID3",0.11193804924495
"MPL.x",0.119144739868294
"ARID1A",0.000454305243356154
"STAG1.x",0.199149447069528
"STK11",0.211724217673726
"KMT2A",0.0901987193695262
"CREB1",0.0211911535711378
"TNFAIP3",0.00289247339871414
"MYB.x",0.263020489889178
"SGK1",0.0116649785821659
"FOXO3",0.821823423486713
"CCND2",0.0454765514109345
"SET",0.0745406683199788
"CNTRL",0.0187227288415965
"PPP6C",0.492526351380003
"NR4A3",0.0017216408981566
"CSF3R.x",0.325757850562719
"KDSR",0.0880152978022464
"DNMT3A.x",0.0855404586896736
"BCL11A",0.649340553576984
"CD274",0.584826625541992
"KCNJ5",0.862931308094554
"SPOP",0.036040363642941
"CEP89",0.847585929327757
"ZMYM2",0.390036867124452
"PIK3CA",0.98317873849492
"CXCR4",0.355154635851375
"ACVR2A",0.101395167102537
"FLT3.x",0.160937053469087
"RPL5",0.0160704185834167
"PMS2",0.905382899855273
"HNRNPA2B1",0.0268607148161772
"FKBP9",0.62599340440234
"KIAA1549.x",0.650440224106532
"TRIM24",0.186415717254169
"CDKN2C",0.08722179221562
"ATF1",5.04342475003525e-05
"STIL",0.217253051481362
"ACSL3",0.000820099608468727
"SDC4",0.107194760977281
"PLCG1",0.758076254761338
"USP9X.x",0.468576591870217
"HIST1H3B",0.0810251724814073
"CDKN1A",0.152531098116243
"DEK",0.207175426826077
"SEPT6",0.549032346536605
"PAX8",0.581471187793543
"MAX",0.0859858683786454
"KDM5C.x",0.703401815736925
"CCR7",0.548218243126817
"BCL2L12",0.912649428179835
"SBDS",0.0031880839290487
"ZNF384",0.42906106129353
"KTN1",0.00164265866106188
"NUP214",0.0993094834421425
"MAP2K2",0.00340241602868313
"BCL11B",0.0058863929439648
"PTPRB",0.0263797796917446
"SMARCA4",0.844714822451725
"AKAP9",0.884598181743214
"HIP1",0.702721898711203
"KDR",0.0153732472750894
"DGCR8",0.0634544698954164
"SPECC1",0.336553645910617
"POT1",0.0895622079801267
"SMO",0.606427117740219
"KNSTRN",0.101778311689208
"USP6",0.00524423063655911
"FOXA1",0.0106793742061295
"CBFA2T3",0.886287259719654
"MLLT1",0.00371947734903713
"MNX1",0.394422075290853
"CLIP1",0.718881636015699
"ZNF331",0.171980189495063
"LATS1",0.0350765819222477
"TRAF7",0.807828198164833
"RARA",0.231110431787756
"DNAJB1",0.381334622910937
"RAF1",0.968800975107511
"PPARG",0.0710801270288492
"H3F3B",0.481037164435503
"MUTYH",0.405553326845962
"CASP9",0.47158177284679
"MYH11",0.153759140372245
"BTG1",0.0406004979597155
"KRAS.x",0.99488014179297
"MEN1",0.528247820446893
"VHL",6.23321499740857e-05
"NOTCH2",0.66502673270014
"MYCN",0.0672927168025281
"IL6ST",0.096337218209242
"CDC73",0.230872293644576
"DDB2",0.27225252391965
"PDGFRA",0.121472205417944
"ERCC5",8.97641290914888e-05
"APC",0.142705886540891
"TBX3",0.0442943931700469
"LMO2",0.0389518694385382
"CDK4",0.403142686948914
"ACVR1B",0.438935358628055
"TEC",0.890149792647266
"MDM2",0.934976372756135
"TMEM127",0.315928578616993
"USP44",0.0503671562913649
"LCP1",0.322896835774613
"RAC1",0.666358975616413
"BRIP1",0.959789315925937
"KAT7",8.27577733574112e-05
