"feature","p_value","q_value","method","beta","r_squared"
"X.IPA..PTEN.Signaling",4.63301872265208e-09,8.3002814298781e-08,"linear_regression (continuous/count feature)",2.09112095189458,0.101596980913535
"X.IPA..PI3K.AKT.Signaling",3.24118310027575e-11,1.4681787859403e-09,"linear_regression (continuous/count feature)",3.74819979318894,0.128345868645615
"X.IPA..Telomere.Extension.by.Telomerase",4.30468803619215e-10,1.2733867865201e-08,"linear_regression (continuous/count feature)",-2.90536865586785,0.114486676016212
"X.TPW..SHC1.pSTAT3.Signature",7.04287189405124e-10,1.62882419076967e-08,"linear_regression (continuous/count feature)",0.79837740951682,0.11182813695891
"X.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",2.36480958629762e-13,2.50669816147548e-11,"linear_regression (continuous/count feature)",0.372853631698853,0.154198644263734
"M0",4.78267854636682e-09,8.44939876524805e-08,"linear_regression (continuous/count feature)",1.32271461547871,0.101423530837081
"M11",1.29368422699091e-15,2.74261056122073e-13,"linear_regression (continuous/count feature)",-0.602836577341188,0.180812920854249
"M14",4.44511636665069e-16,1.13083760367594e-13,"linear_regression (continuous/count feature)",0.263754867447852,0.186175499115576
"M21",3.27121791431523e-10,1.06692030436128e-08,"linear_regression (continuous/count feature)",-0.414612317946047,0.115966432032674
"M9",1.93693031177849e-13,2.23979577871113e-11,"linear_regression (continuous/count feature)",0.404647786197585,0.15523286390827
