"feature","p_value","q_value","method","beta","r_squared"
"AUC_.TBI..Phopholipase",2.39339487155984e-13,6.47777525020001e-12,"linear_regression (continuous/count feature)",-1.48335065669165,0.167061680799211
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",1.34640241868443e-10,2.149065399054e-09,"linear_regression (continuous/count feature)",-0.441316076744063,0.131083286859275
"AUC_.TPW..Immunogenic.Cell.Death..ICD.",8.96733024773977e-10,1.25441866948719e-08,"linear_regression (continuous/count feature)",-0.663381567906596,0.120052908816858
"GAS7",1.54632756063535e-11,2.87339972088211e-10,"linear_regression (continuous/count feature)",-0.0482831551524741,0.143529419987043
"WAS",1.51266727635948e-13,4.37969943969199e-12,"linear_regression (continuous/count feature)",-0.116316569672546,0.169616250684806
"CD74",1.04454480670847e-13,3.19153791154306e-12,"linear_regression (continuous/count feature)",-0.0482105988375578,0.171672650907628
"ARID1B_x",4.53908964272551e-11,7.53488880692435e-10,"linear_regression (continuous/count feature)",0.0928321259058231,0.137355696876836
"SMARCD1",2.60296318469422e-13,6.89508332966872e-12,"linear_regression (continuous/count feature)",0.124782249286812,0.16659358911653
"TCF3",9.0236524346861e-12,1.81200762599745e-10,"linear_regression (continuous/count feature)",0.0821758765016214,0.146602964556899
"PRKACA",4.94955675139559e-25,5.60199832317046e-23,"linear_regression (continuous/count feature)",-0.114854593188856,0.304990982436448
"TFRC",4.71359369837615e-15,1.77831034984191e-13,"linear_regression (continuous/count feature)",0.0555623318508999,0.188696747542114
"FCGR2B",6.15604906719499e-22,4.7901756804111e-20,"linear_regression (continuous/count feature)",-0.0341418253088817,0.27075883943463
"PICALM",5.31617128716801e-11,8.70872796384759e-10,"linear_regression (continuous/count feature)",-0.0987523320157105,0.136446478042843
"ARHGEF10L_x",7.04776576548373e-39,1.46241139633787e-36,"linear_regression (continuous/count feature)",-0.0313591042969361,0.439820140218422
"PTPRC",2.72110595753453e-13,7.05786857735519e-12,"linear_regression (continuous/count feature)",-0.0815010106608772,0.16634595654501
"GNAS_x",1.67371881826216e-14,5.95365693924681e-13,"linear_regression (continuous/count feature)",0.132966860116934,0.181773345730396
"CD209",2.28298488588822e-20,1.49595588575307e-18,"linear_regression (continuous/count feature)",-0.0298786392610039,0.25278250167136
"JAK2_x",1.70060469932642e-20,1.24544285333023e-18,"linear_regression (continuous/count feature)",-0.12112232260049,0.254263537902879
"ABL1",9.18470903708702e-14,2.93204173107009e-12,"linear_regression (continuous/count feature)",0.115296517246163,0.172385881688515
"SMARCB1",4.71415146464934e-09,5.75403781714552e-08,"linear_regression (continuous/count feature)",0.111291835199924,0.110305284472478
"PATZ1",2.70258050430937e-12,6.0084155854735e-11,"linear_regression (continuous/count feature)",0.0958609193338538,0.153447642616507
"CCNB1IP1",3.7969342233316e-14,1.31310641890218e-12,"linear_regression (continuous/count feature)",0.0753207586521032,0.177268876674887
"PTK6",1.17578456288124e-09,1.59114323998603e-08,"linear_regression (continuous/count feature)",-0.0247497146062088,0.118467442909736
"UBR5_x",5.80035917771552e-13,1.47376472984813e-11,"linear_regression (continuous/count feature)",0.162009463750848,0.162113192319403
"AKT2",5.5616511528725e-14,1.87142045549358e-12,"linear_regression (continuous/count feature)",0.191086029728859,0.175162139519078
"CDK6",2.40183373005972e-12,5.53756109985991e-11,"linear_regression (continuous/count feature)",0.0444985461778267,0.154114790805907
"SFRP4",2.44562346979938e-10,3.71317221939052e-09,"linear_regression (continuous/count feature)",0.0276849343996799,0.127623679028668
"CPEB3",1.81629227425329e-12,4.26657336121765e-11,"linear_regression (continuous/count feature)",-0.0753895457021588,0.15569313598699
"BCL7A",8.05792847917596e-12,1.65158309559315e-10,"linear_regression (continuous/count feature)",0.0446900759284976,0.147247651107937
"TFEB",4.89600299757395e-26,6.77280414664396e-24,"linear_regression (continuous/count feature)",-0.0652594374729532,0.31576422147002
"BCL6",3.50586865893095e-10,5.13506644749298e-09,"linear_regression (continuous/count feature)",-0.0290750410932693,0.125530628127387
"RPL22",2.02289855465934e-11,3.65001260949402e-10,"linear_regression (continuous/count feature)",0.075011734445299,0.141992810376985
"SFPQ",1.30160471132508e-08,1.42148935578924e-07,"linear_regression (continuous/count feature)",0.0715172169300611,0.104298275618981
"MYCL",4.94457340870537e-29,7.69499236729774e-27,"linear_regression (continuous/count feature)",-0.0323972536668463,0.346925004586284
"AKT3",1.61615969171043e-08,1.69332130834072e-07,"linear_regression (continuous/count feature)",-0.023600139357621,0.103014033059071
"SGK1",2.36528792526082e-11,4.20683352421389e-10,"linear_regression (continuous/count feature)",-0.0279326978131031,0.141097315562468
"CCND2",2.68580621703623e-12,6.0084155854735e-11,"linear_regression (continuous/count feature)",0.041349209017062,0.153482863057306
"ZMYM2",5.94839272542992e-11,9.61785577033799e-10,"linear_regression (continuous/count feature)",0.118753757148265,0.135799462571972
"CDKN1A",2.22727297023005e-09,2.88849463326709e-08,"linear_regression (continuous/count feature)",-0.0296454016959558,0.114719875950129
"MAX",1.46498856548022e-10,2.3087478025606e-09,"linear_regression (continuous/count feature)",0.10467214075261,0.130594715792829
"SPECC1",1.05203092687771e-09,1.43931703732171e-08,"linear_regression (continuous/count feature)",-0.0572207846945907,0.119118529459784
"SMO",1.44887595084653e-08,1.55504358517581e-07,"linear_regression (continuous/count feature)",0.0243999167507146,0.103662481602878
"CLIP1",1.59801203376573e-15,6.63174994012777e-14,"linear_regression (continuous/count feature)",-0.113537755186896,0.194563651865566
