"feature","p_value","q_value","method","beta","r_squared"
"ATM",7.6801867977463e-07,1.44003502457743e-05,"linear_regression (continuous/count feature)",-0.0390036557365942,0.146284379078656
"JAZF1",2.34783131733652e-08,7.47037237334348e-07,"linear_regression (continuous/count feature)",-0.0167634222937929,0.182759044087708
"KAT6B_x",7.02946249753286e-08,1.84523390560238e-06,"linear_regression (continuous/count feature)",0.0477830465700382,0.171433364086939
"LMNA",1.20192474844496e-05,0.000148473057160849,"linear_regression (continuous/count feature)",-0.0126932949326741,0.116628593947772
"TAL1",1.46322427351023e-05,0.000176596033009855,"linear_regression (continuous/count feature)",0.00940523136079873,0.11448012096355
"RAD21_x",1.6354504008334e-05,0.000190802546763896,"linear_regression (continuous/count feature)",0.0700367647940105,0.113263310900288
"SYK",4.97128311579255e-06,6.71976824544471e-05,"linear_regression (continuous/count feature)",-0.0333057632130374,0.126227261410266
"WRN",2.86124472629457e-07,6.28409841736232e-06,"linear_regression (continuous/count feature)",0.0420566257179509,0.156743638618609
"PRKCB",1.83907408292627e-05,0.000208404454376995,"linear_regression (continuous/count feature)",-0.0370398199250304,0.111978985383781
"B2M",9.24119535653697e-06,0.000116906688245347,"linear_regression (continuous/count feature)",-0.0489101134929525,0.119493812488317
"STAT6",6.97203129093701e-10,3.66031642774193e-08,"linear_regression (continuous/count feature)",-0.0478321781871492,0.218172585699502
"HOOK3",1.83761695136299e-09,7.14628814418941e-08,"linear_regression (continuous/count feature)",-0.0535928591858955,0.208552256196813
"RHOH",2.87779967422621e-05,0.000302168965793753,"linear_regression (continuous/count feature)",0.0151395227828137,0.107067550858568
"LRP1B",2.46514700144621e-05,0.000269625453283179,"linear_regression (continuous/count feature)",-0.00930770821344779,0.108767127035121
"MAP2K1",1.44545569648698e-06,2.33496689432512e-05,"linear_regression (continuous/count feature)",-0.0304741276250284,0.139532409733836
"GPHN",4.14707892267716e-05,0.000403188228593613,"linear_regression (continuous/count feature)",0.0138040035142595,0.103047709682888
"MALT1",5.13186803747998e-05,0.000489860130850362,"linear_regression (continuous/count feature)",-0.0233764177336712,0.1006988114778
"MYD88",9.78397614114511e-10,4.46659780356625e-08,"linear_regression (continuous/count feature)",-0.0434495613935592,0.214821119648987
"RNF213",9.1610197901701e-07,1.63035097960654e-05,"linear_regression (continuous/count feature)",-0.0373784648482675,0.144405961459119
"POLE",7.34447308650149e-06,9.76164144408425e-05,"linear_regression (continuous/count feature)",0.028205922572855,0.121992896177873
"CIITA",4.07146815413748e-05,0.000399536594564893,"linear_regression (continuous/count feature)",-0.0114559814969987,0.103250400545862
"CSF1R",1.09166680126347e-14,1.27361126814072e-12,"linear_regression (continuous/count feature)",-0.0211852112522235,0.320581125852276
"BCR",4.65792773514063e-11,2.57411795889351e-09,"linear_regression (continuous/count feature)",0.0397543237850244,0.244472354052544
"FAT4",1.99437508075237e-07,4.75930416997725e-06,"linear_regression (continuous/count feature)",0.0141116391414068,0.160541014084208
"PDCD1LG2",2.50569390534458e-08,7.73817235474063e-07,"linear_regression (continuous/count feature)",-0.0179065241523627,0.182090693013816
"SIRPA",1.58786492571468e-09,6.54652033484241e-08,"linear_regression (continuous/count feature)",-0.0246678625635339,0.210009107760926
"MAFB",2.63823709267646e-08,7.91471127802938e-07,"linear_regression (continuous/count feature)",-0.0102688248050561,0.181560954005843
"SDHD",2.50098618614436e-06,3.7645471328001e-05,"linear_regression (continuous/count feature)",-0.0444120375826772,0.133645582723147
"VCAN",4.77459490928955e-15,6.26665581844254e-13,"linear_regression (continuous/count feature)",-0.0106848620521136,0.327700732015879
"DSG2",1.39157588390113e-09,6.08814449206743e-08,"linear_regression (continuous/count feature)",0.00878247014001555,0.211323012909169
"ADAMTS2",2.13220020167542e-07,4.86697872121564e-06,"linear_regression (continuous/count feature)",-0.00794109309371505,0.159839004610599
"LGALS2",1.08549130336083e-26,1.13976586852887e-23,"linear_regression (continuous/count feature)",-0.0155444299752869,0.522913799031971
"CHRDL1",2.35275537439981e-05,0.000260041383486295,"linear_regression (continuous/count feature)",0.00625099434403625,0.109279160017606
"PRLR",2.56661091825489e-09,9.62479094345583e-08,"linear_regression (continuous/count feature)",-0.00898958959105287,0.205211058137411
"PXDN",3.12148106774344e-05,0.000321328933444177,"linear_regression (continuous/count feature)",0.00494353072981792,0.106174219326123
"CDC42BPA",1.62104313053241e-09,6.54652033484241e-08,"linear_regression (continuous/count feature)",0.0114337400212458,0.209803016472155
"DDIT4L",2.87273070507992e-07,6.28409841736232e-06,"linear_regression (continuous/count feature)",0.00836755452099459,0.15670140923865
"PLEKHG4B",8.45486179118329e-07,1.55747454048113e-05,"linear_regression (continuous/count feature)",0.00807960572507379,0.145260967969468
"CYYR1",3.34311238893759e-07,7.16381226200913e-06,"linear_regression (continuous/count feature)",0.00865716777977817,0.155101757148781
"SCN9A_x",4.99182783947321e-06,6.71976824544471e-05,"linear_regression (continuous/count feature)",0.00782180885731632,0.12618259007741
"CDH2",2.36226115253074e-06,3.64760913258422e-05,"linear_regression (continuous/count feature)",0.00754068753244683,0.134259715724886
"CSPG4",7.96807161170127e-08,1.99201790292532e-06,"linear_regression (continuous/count feature)",-0.00883661029106536,0.170130511443083
"DLK1",2.83091214762679e-05,0.000302168965793753,"linear_regression (continuous/count feature)",0.00699627576360615,0.107248028478633
"CD300E",2.0302858073595e-15,3.55300016287913e-13,"linear_regression (continuous/count feature)",-0.0112511837954696,0.334987156692165
"CES1",3.1580938214337e-08,9.21110697918162e-07,"linear_regression (continuous/count feature)",-0.00804799921277064,0.179710214613965
"AC104809.4",8.92988260757157e-10,4.46494130378578e-08,"linear_regression (continuous/count feature)",-0.00922125852375448,0.215725867881086
"X..Monocytes.in.PB",9.27628089791915e-05,0.000810966705815953,"linear_regression (continuous/count feature)",-0.00123880672050006,0.15854476527327
"X.HM..Glycolysis",1.88372803856257e-06,2.95211110521e-05,"linear_regression (continuous/count feature)",-1.3384431238132,0.13669263967973
