"CommonFeature","Drugs"
"JAZF1",9
"M6",9
"MAFB",9
"Monocyte-like",9
"PRKACA",9
"RARA",9
"[HM] KRAS signaling up",8
"[IPA] ErbB Signaling",8
"[IPA] ErbB2 ErbB3 Signaling",8
"[IPA] ERK5 Signaling",8
"[IPA] mTOR Signaling",8
"[IPA] VEGF Signaling",8
"[TPW] Immunogenic Cell Death (ICD)",8
"AC104809.4",8
"AMER1",8
"ARHGAP26",8
"ARHGEF10L_x",8
"AUC_[TBI] Phopholipase",8
"B2M",8
"BCL6",8
"CD300E",8
"cDC-like",8
"CLIP1",8
"FAS",8
"FCGR2B",8
"IRF4",8
"JAK2_x",8
"LGALS2",8
"M1",8
"MAP2K1",8
"MYCL",8
"MYD88",8
"PATZ1",8
"PICALM",8
"PRLR",8
"VCAN",8
"[HM] Angiogenesis",7
"[HM] Apoptosis",7
"[HM] Notch signaling",7
"[HM] p53 pathway",7
"[IPA] HMGB1 Signaling",7
"[IPA] p38 MAPK Signaling",7
"[IPA] PI3K AKT Signaling",7
"[IPA] TNFR1 Signaling",7
"[IPA] UVA Induced MAPK Signaling",7
"[TBI] Phopholipase",7
"[TPW] Hypoxia/Adenosine Immune Cell Suppression",7
"[TPW] SHC1/pSTAT3 Signature",7
"%.Monocytes.in.PB",7
"ABL1",7
"AKT2",7
"ARID1B_x",7
"AUC_[HM] DNA repair",7
"AUC_[HM] KRAS signaling up",7
"AUC_[HM] Myc targets",7
"AUC_[TPW] Hypoxia/Adenosine Immune Cell Suppression",7
"BCL7A",7
"BCR",7
"CD209",7
"CD74",7
"CDK6",7
"COL2A1",7
"CSF1R",7
"DSG2",7
"FOXO1",7
"GAS7",7
"GPHN",7
"HOOK3",7
"HSP90AB1",7
"IRX5",7
"KLF4",7
"M11",7
"M16",7
"M7",7
"MALT1",7
"MAML2",7
"MDFI",7
"MYB_x",7
"NONO",7
"PRCC",7
"PRPF40B",7
"SGK1",7
"SMARCA4",7
"SMARCB1",7
"SRGAP3",7
"TFEB",7
"TFRC",7
"TGFBR2",7
"WAS",7
"ZFHX3",7
"[HM] PI3K Akt mTOR signaling",6
"[IPA] EGF Signaling",6
"[IPA] HER 2 Signaling in Breast Cancer",6
"[IPA] UVC Induced MAPK Signaling",6
"AFF1",6
"AUC_[HM] Angiogenesis",6
"AUC_[IPA] Telomere Extension by Telomerase",6
"AUC_[IPA] VEGF Signaling",6
"AUC_[TPW] Immunogenic Cell Death (ICD)",6
"CCNB1IP1",6
"CES1",6
"CHD4",6
"CIITA",6
"CPEB3",6
"CREB3L2",6
"EXT1",6
"FGFR3",6
"FN1",6
"HERPUD1",6
"HIP1",6
"IRX3",6
"KAT6B_x",6
"LCP1",6
"LYN",6
"M4",6
"M9",6
"MSI2",6
"N4BP2",6
"NOTCH2",6
"PCM1",6
"POLR2A",6
"PRKCB",6
"PTK6",6
"PTPRC",6
"SALL4_x",6
"SFRP4",6
"SIRPA",6
"SMO",6
"STAT6",6
"SYK",6
"Tsne1",6
"USP8",6
"WRN",6
"[HM] Hypoxia",5
"[IPA] ERK MAPK Signaling",5
"[IPA] Estrogen Dependent Breast Cancer Signaling",5
"[IPA] PTEN Signaling",5
"ADAMTS2",5
"AUC_[HM] Apoptosis",5
"AUC_[HM] Notch signaling",5
"AUC_[TPW] SHC1/pSTAT3 Signature",5
"BCL2",5
"CDC42BPA",5
"CDH2",5
"CDKN1A",5
"CSPG4",5
"DGCR8",5
"DNMT3A_x",5
"EIF1AX",5
"ERBB2",5
"FANCG",5
"FGFR1OP",5
"FGFR4",5
"GNAS_x",5
"HLA-A",5
"IDH2_x",5
"IL6ST",5
"M14",5
"MED12",5
"MLLT10",5
"MLLT11",5
"MSH6",5
"MYO5A",5
"NKX2-3",5
"NUMA1",5
"PDCD1LG2",5
"PIEZO2",5
"QKI",5
"RBM10",5
"RHOA",5
"RNF213",5
"RP11-129J12.2",5
"RPL22",5
"SCN9A_x",5
"SDHB",5
"SEPT6",5
"SET",5
"SMARCD1",5
"SMARCE1",5
"SRSF2_x",5
"TCF3",5
"TCF7L2",5
"TMEM127",5
"TMSB4X",5
"TNFRSF14",5
"TRRAP_x",5
"USP44",5
"XPA",5
"[HM] Glycolysis",4
